#! nombre: colina
#! tipo: exterior
#! luz: atardecer

#! titulo: La colina

#! objeto 1 npc alex colina.alex.1

#! puerta D Pueblo 45 4

................................
............T.......T...........
......T............f............
.............f........T..f......
....T...........................
................1...............
..........f...............T.....
...T..................f.........
.......f........,f..............
................,...........T...
............f...,...............
................,...f.....f.....
..T.....f.......,.......f.......
..............f.,...............
................,.f..........T..
........T.......,...............
..........f.....,.......T.......
......f.........,.....f.....f...
..............S.,...............
................D...............
